time_sec,rr_ms,annotation,record_id
0.21388888888888888,163.88888888888886,N,100
1.0277777777777777,813.8888888888888,N,100
1.8388888888888888,811.1111111111111,N,100
2.6277777777777778,788.888888888889,N,100
3.4194444444444443,791.6666666666665,N,100
4.208333333333333,788.8888888888888,N,100
5.025,816.6666666666673,N,100
5.677777777777778,652.7777777777777,A,100
6.6722222222222225,994.4444444444445,N,100
7.516666666666667,844.4444444444441,N,100
8.327777777777778,811.1111111111109,N,100
9.116666666666667,788.8888888888896,N,100
9.88888888888889,772.2222222222222,N,100
10.727777777777778,838.8888888888886,N,100
11.583333333333334,855.5555555555561,N,100
12.405555555555555,822.222222222221,N,100
13.233333333333333,827.7777777777775,N,100
14.055555555555555,822.2222222222229,N,100
14.85,794.4444444444443,N,100
15.647222222222222,797.2222222222225,N,100
16.43888888888889,791.6666666666679,N,100
17.261111111111113,822.2222222222229,N,100
18.130555555555556,869.4444444444435,N,100
18.95277777777778,822.2222222222229,N,100
19.738888888888887,786.1111111111079,N,100
20.530555555555555,791.6666666666679,N,100
21.305555555555557,775.0000000000022,N,100
22.091666666666665,786.1111111111079,N,100
22.90277777777778,811.1111111111136,N,100
23.719444444444445,816.6666666666664,N,100
24.54722222222222,827.7777777777758,N,100
25.391666666666666,844.444444444445,N,100
26.197222222222223,805.5555555555571,N,100
26.97222222222222,774.9999999999986,N,100
27.772222222222222,800.0000000000007,N,100
28.56111111111111,788.8888888888879,N,100
29.419444444444444,858.3333333333343,N,100
30.261111111111113,841.6666666666686,N,100
31.086111111111112,824.9999999999993,N,100
31.88888888888889,802.7777777777771,N,100
32.725,836.1111111111121,N,100
33.516666666666666,791.6666666666642,N,100
34.30555555555556,788.8888888888914,N,100
35.125,819.4444444444429,N,100
35.96944444444444,844.4444444444414,N,100
36.85,880.55555555556,N,100
37.672222222222224,822.2222222222229,N,100
38.45,777.7777777777785,N,100
39.25277777777778,802.7777777777771,N,100
40.06388888888889,811.11111111111,N,100
40.861111111111114,797.2222222222242,N,100
41.69722222222222,836.1111111111086,N,100
42.52777777777778,830.5555555555557,N,100
43.352777777777774,824.9999999999957,N,100
44.16388888888889,811.1111111111171,N,100
44.952777777777776,788.8888888888844,N,100
45.733333333333334,780.5555555555586,N,100
46.541666666666664,808.3333333333301,N,100
47.38333333333333,841.6666666666686,N,100
48.21666666666667,833.3333333333358,N,100
49.047222222222224,830.5555555555557,N,100
49.852777777777774,805.55555555555,N,100
50.63055555555555,777.7777777777785,N,100
51.42777777777778,797.2222222222242,N,100
52.208333333333336,780.5555555555586,N,100
53.0,791.6666666666642,N,100
53.855555555555554,855.5555555555543,N,100
54.702777777777776,847.2222222222215,N,100
55.525,822.2222222222229,N,100
56.30833333333333,783.3333333333314,N,100
57.09444444444444,786.1111111111114,N,100
57.88055555555555,786.1111111111114,N,100
58.69722222222222,816.6666666666699,N,100
59.50833333333333,811.11111111111,N,100
60.358333333333334,850.0000000000014,N,100
